cluster,CellMarker2.0,genes,score,tissue
11,T helper 1(Th1) cell ,"LTB,CXCR6,FURIN,CTSH,RORA,EPSTI1,TNFRSF25,LST1,TNFSF13B,SLAMF1,CCR6,NMUR1,MAF",0.14,blood
11,T helper 17(Th17) cell ,"LTB,CXCR6,FURIN,CTSH,RORA,EPSTI1,TNFRSF25,LST1,TNFSF13B,SLAMF1,CCR6,NMUR1,MAF",1,intestine
12,Naive CD4+ T cell,"SELL,CCR7,LEF1,TCF7,IGKC,TSHZ2,ACTN1,NELL2,SOCS3,PDK1,MAL,IGHA1,MYC,LTB",0.89,blood
12,Central memory CD4+ T cell,"SELL,CCR7,LEF1,TCF7,IGKC,TSHZ2,ACTN1,NELL2,SOCS3,PDK1,MAL,IGHA1,MYC,LTB",0.62,blood
12,Naive CD4+ T cell,"SELL,CCR7,LEF1,TCF7,IGKC,TSHZ2,ACTN1,NELL2,SOCS3,PDK1,MAL,IGHA1,MYC,LTB",1,intestine
13,Effector memory CD4+ T cell,"MALAT1,B2M,HLA-B,DDX17,HLA-A,XIST,NMUR1,CD160,GZMA,RORA,ENTPD1,KLRD1,ITGA1,IL7R,FKBP5",0.4,blood
13,Pan-B Terminal effector CD8+ T cell,"MALAT1,B2M,HLA-B,DDX17,HLA-A,XIST,NMUR1,CD160,GZMA,RORA,ENTPD1,KLRD1,ITGA1,IL7R,FKBP5",0.25,blood
13,Helper innate lymphoid cell,"MALAT1,B2M,HLA-B,DDX17,HLA-A,XIST,NMUR1,CD160,GZMA,RORA,ENTPD1,KLRD1,ITGA1,IL7R,FKBP5",0.5,intestine
14,CD3/CD28-stimulated NK cell,"GZMH,FGFBP2,KLRG1,GNLY,IFITM1,CTSW,ITGB2,GZMK,PRF1,EMP3,FCRL6,NKG7,GZMB,CST7",1,blood
14,Transitional CD8+ T cell,"GZMH,FGFBP2,KLRG1,GNLY,IFITM1,CTSW,ITGB2,GZMK,PRF1,EMP3,FCRL6,NKG7,GZMB,CST7",1,blood
14,Cytotoxic T cell 2,"GZMH,FGFBP2,KLRG1,GNLY,IFITM1,CTSW,ITGB2,GZMK,PRF1,EMP3,FCRL6,NKG7,GZMB,CST7",1,intestine
15,Cytotoxic CD4+ T cell,"GNLY,FGFBP2,FCGR3A,TYROBP,KLRF1,GZMH,FGR,SAMD3,PRF1,ADGRG1,PLEK,CTSW,ITGB1,FCER1G,ITGB2,FLNA,GZMB,KLRG1,NKG7",1,blood
15,CD56+ natural killer cell,"GNLY,FGFBP2,FCGR3A,TYROBP,KLRF1,GZMH,FGR,SAMD3,PRF1,ADGRG1,PLEK,CTSW,ITGB1,FCER1G,ITGB2,FLNA,GZMB,KLRG1,NKG7",1,blood
15,Cytotoxic T cell 2,"GNLY,FGFBP2,FCGR3A,TYROBP,KLRF1,GZMH,FGR,SAMD3,PRF1,ADGRG1,PLEK,CTSW,ITGB1,FCER1G,ITGB2,FLNA,GZMB,KLRG1,NKG7",1,intestine
16,Cycling cell,"STMN1,KIAA0101,ZWINT,TYMS,TOP2A,TK1,MKI67,CDK1,CLSPN,MCM7,RRM2,PCNA,NUSAP1,UBE2C,ASF1B,GINS2,CENPU,FEN1,TUBA1B,GTSE1",1,blood
