"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0019058","viral life cycle",264,0.416465129281312,2.16948879506659,1e-10,1.25106382978723e-08,5.21192653702082e-09,3950,"tags=39%, list=23%, signal=31%","6541/5034/4038/7415/57169/6732/80149/103/5819/1508/4627/6737/7301/5093/3416/1488/7706/7153/3673/5861/26986/3838/3949/81607/7037/4035/23367/137492/201626/55065/10663/7113/55337/8519/339122/1654/6780/23137/3669/27183/8815/147339/27243/24138/1642/949/200315/23633/57506/9582/5586/10410/57132/25945/6510/8829/3576/11060/5818/90861/6993/10581/7879/983/3839/1969/11074/89870/3965/64135/50848/3688/3326/9525/79581/6520/9213/81559/3609/1605/92421/6714/5045/128637/1948/81876/290/85363/79643/4864/10318/1234/5481/684/7251/440275/83737/5245/25978/9235/30835/6504/27350/7913",NA,"BP"
"GO:0006979","response to oxidative stress",361,0.402386514475981,2.16765920345876,1e-10,1.25106382978723e-08,5.21192653702082e-09,4758,"tags=48%, list=27%, signal=35%","5690/7494/5831/836/3934/135112/578/2730/4025/3091/8876/50506/5720/80149/8737/6647/2950/1728/8428/10131/2877/5578/5603/5717/1894/9283/5707/2168/4602/4891/7706/8754/9131/1398/3066/4779/5685/5684/81502/538/6667/10105/5704/664/10549/9314/5721/6780/405/9817/5066/8815/468/5604/2539/10197/5708/2643/3162/57019/5194/7168/5702/5599/1719/475/3717/10645/1938/10276/8678/5709/83636/5695/5601/5580/4277/4780/154807/5719/5686/2729/5700/1386/2936/983/4323/11101/2081/5718/5705/207/5701/4257/3040/2068/84883/5598/2395/9943/55829/2309/8807/5371/2110/4314/6810/1072/5683/8454/10213/51765/7157/5687/5536/3039/4512/7979/5693/199/6714/7001/847/5694/4217/347/22954/9124/5562/5713/9555/93100/5692/4363/5970/11047/5743/29957/4193/5111/2353/114757/83667/3163/4233/57707/4521/57190/5829/25/5688/23400/2878/374/57465/1545/11235/1147/7837/3082/54929/9415/5796/337/5195/57332/1909/26258/80777/56888/79912/948/79791",NA,"BP"
"GO:0140888","interferon-mediated signaling pathway",81,0.499516639514623,2.16534861629317,6.71630396694729e-07,2.29628337376832e-05,9.56630666422368e-06,3145,"tags=36%, list=18%, signal=29%","3659/4615/51441/6772/83666/9759/7474/3654/79594/54625/3093/5781/8519/54502/57506/81030/29110/10410/3717/64343/10581/81844/253943/3429/25939/6773/7157/3459/3588",0.659444398037935,"BP"
"GO:0050665","hydrogen peroxide biosynthetic process",11,0.812726225857315,2.16132147132331,1.34077198185605e-05,0.00026815439637121,0.000111713006258329,474,"tags=45%, list=3%, signal=44%","6774/405753/50506/6647/255027",0.593325476396405,"BP"
"GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",10,0.829478631978561,2.14232927279085,1.85351190811314e-05,0.00034866950761752,0.000145255566992996,1367,"tags=60%, list=8%, signal=55%","578/10449/255027/292/8326/598",0.575610261071129,"BP"
"GO:0022600","digestive system process",76,0.491540065645599,2.14088966021008,1.29928417620344e-06,3.95844090988406e-05,1.64908478146653e-05,3701,"tags=45%, list=21%, signal=35%","3784/29881/1131/9026/1314/339221/2346/27347/1645/3360/4760/64240/3949/11171/6523/10162/56667/57482/64241/6662/150/3274/5357/51474/9075/9414/50848/4585/113235/7357/4864/5950/4192/1128",0.643551836150722,"BP"
"GO:0007586","digestion",90,0.479467288613589,2.13803516767699,9.46773989846077e-07,3.05880827488732e-05,1.27429821244655e-05,3701,"tags=44%, list=21%, signal=35%","3784/29881/1131/9026/1314/339221/2346/27347/6750/1645/3360/4760/64240/3949/5644/11171/6523/10162/114131/56667/57482/64241/6662/885/150/3274/5357/5646/51474/9075/9414/50848/4585/56624/113235/7357/4864/5950/4192/1128",0.659444398037935,"BP"
"GO:0009615","response to virus",340,0.400357401167793,2.13671613793098,1e-10,1.25106382978723e-08,5.21192653702082e-09,4400,"tags=42%, list=25%, signal=32%","1755/3659/834/64332/2962/4615/2633/151636/57169/3437/3091/50506/80149/2634/103/6772/2023/83666/5611/6737/64771/3964/55210/7706/7726/7874/10146/811/375/3320/11128/9111/79594/1984/51251/10269/664/201626/4486/1432/55337/55324/8519/26146/1654/8729/3669/8815/598/81570/24138/115362/200315/6502/54765/57506/81030/9582/29110/4343/10410/7098/10623/8678/149233/64343/54726/4277/10581/11100/5987/1386/54541/81844/11074/89870/3429/3965/64135/11040/146857/64108/9188/708/79102/2150/5495/22948/5371/25939/406933/6773/1072/5683/81559/3925/3609/10084/1660/3459/55703/9868/602/5551/3588/4953/148022/3553/8399/5366/22954/80212/85363/29108/5970/684/3433/10155/440275/8165/8467/83737/1653/5245/30009/84166/27350/197259/10758/10955/6609/55284/10542/112703/9217/11331/3458/338376/5610/23076/1147/27297/5465",NA,"BP"
"GO:0044282","small molecule catabolic process",312,0.39788164595443,2.13243449076181,1e-10,1.25106382978723e-08,5.21192653702082e-09,4982,"tags=47%, list=29%, signal=34%","4843/6652/7498/51268/4860/2597/2526/5826/1374/11057/3295/127/9123/10449/2023/2524/5214/10295/1891/130589/3099/171586/6472/3033/11332/3607/84706/11112/1666/6566/874/125061/1806/1743/1738/37/1066/5236/4329/11164/26061/2731/445/8310/5223/5230/226/27349/7378/3101/32/5194/2806/10994/6470/2720/34/3712/2805/160428/91452/4041/1737/57089/18/113675/26275/221937/128/4835/30/2820/80150/207/2530/23175/9663/79644/5096/84879/55902/2109/51084/64087/51/2110/25828/2523/374569/9673/9583/3939/217/83752/6799/3030/10007/1376/1594/390916/5315/84830/5211/2098/8659/6342/593/2528/254552/2710/790/100/36/2752/4351/1962/1629/64900/79411/2582/4521/64080/347862/23576/1384/7167/5465/2108/23464/8644/3620/80724/3098/1576/9615/3032/10455/54905/642/9784/1632/3155/5019/23498/64064/56267/3667/219",NA,"BP"
"GO:0010639","negative regulation of organelle organization",321,0.394209605363299,2.12484118305257,1e-10,1.25106382978723e-08,5.21192653702082e-09,3760,"tags=39%, list=22%, signal=31%","9026/578/23329/10449/54464/57082/54521/84260/899/255027/3619/9319/22974/55604/7798/5347/1063/220134/79594/292/991/3192/7037/332/10105/1778/9031/140735/79142/55055/699/664/8326/891/5756/55143/221150/54908/26586/85415/4534/6712/10890/598/4085/23063/112476/701/3550/57482/1781/11130/11344/7272/57159/10403/2059/3985/7013/29766/136319/10040/8678/1111/672/5580/5062/6993/7879/9100/6711/51474/10039/57175/2314/207/115704/4683/3178/51657/50848/2665/550643/9212/22919/80119/2395/9463/347240/5216/5371/348110/57405/2764/5885/2475/1072/51143/7157/118/7014/24139/10395/83903/4089/6709/83540/6714/829/6840/147841/22954/26271/10288/4976/9587/253725/1496/23671/54978/8500/8899/23370/8467",NA,"BP"
