"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000124942",-0.17120535347274,11.4836740727862,-3.2869169089905,0.00112399908643513,0.00604975130561377,-1.2558281189793,"AHNAK","79026","AHNAK nucleoprotein","Not Significant"
"ENSG00000247596",0.135075584831077,3.86422272264806,3.28672797364858,0.00112472882733469,0.00605057377618494,-1.40493227743887,"TWF2","11344","twinfilin actin binding protein 2","Not Significant"
"ENSG00000251791",-0.306908752650218,4.66200839726819,-3.28679067766241,0.00112448659156349,0.00605057377618494,-1.49356682507332,"SCARNA6","677772","small Cajal body-specific RNA 6","Not Significant"
"ENSG00000162695",0.0855632196434506,6.97208631856842,3.28551891141042,0.00112940911833419,0.00607419391206655,-1.54233685983458,"SLC30A7","148867","solute carrier family 30 member 7","Not Significant"
"ENSG00000106459",-0.0865608888457108,3.88158652349842,-3.28495298417207,0.00113160603694506,0.00608288996025696,-1.41371868407783,"NRF1","4899","nuclear respiratory factor 1","Not Significant"
"ENSG00000149084",0.152233645404845,6.70493515223044,3.28496892249389,0.00113154411041161,0.00608288996025696,-1.55305354140209,"HSD17B12","51144","hydroxysteroid 17-beta dehydrogenase 12","Not Significant"
"ENSG00000086598",0.13567639546879,7.98262204732648,3.28462377820223,0.00113288583336649,0.00608820916086656,-1.49721151451307,"TMED2","10959","transmembrane p24 trafficking protein 2","Not Significant"
"ENSG00000132329",0.249775550083525,4.26804810302353,3.28434132445611,0.00113398495064459,0.0060925549026051,-1.46889451450987,"RAMP1","10267","receptor activity modifying protein 1","Not Significant"
"ENSG00000214941",-0.11258469091758,2.9478077690715,-3.28370533718668,0.00113646340559524,0.00610274447833079,-1.30032472458481,"ZSWIM7","125150","zinc finger SWIM-type containing 7","Not Significant"
"ENSG00000260103",-0.22700908330966,-0.000672838013998218,-3.28377272932577,0.00113620053900574,0.00610274447833079,-1.05261886931411,NA,NA,NA,"Not Significant"
