"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0071013","catalytic step 2 spliceosome",91,0.498054255628519,2.13392452361358,5.86224301068309e-07,9.33601350235016e-06,4.40209272228938e-06,5266,"tags=55%, list=30%, signal=39%","1659/3185/51645/4670/22913/6632/23759/6636/26986/10189/9343/3192/23450/3181/23020/10283/3178/9775/22938/10492/3190/27339/988/9092/6634/6629/9410/10992/6426/8220/10286/8899/23517/8896/9785/4116/3183/9416/642659/6628/10236/51428/5411/55110/57703/57461/10594/9716/51634/6627",0.659444398037935,"CC"
"GO:0005925","focal adhesion",389,0.409051690935441,2.1304651309883,1e-10,4.02631578947368e-09,1.89847791351407e-09,5040,"tags=45%, list=28%, signal=33%","3309/6386/5034/23767/5879/10211/7184/7052/84951/7171/2923/5898/2017/7534/51056/8754/3673/10525/6645/10146/3655/5819/5479/10097/71/7525/2783/811/1213/308/7414/9493/91624/8650/5781/2274/7532/1266/8826/22919/6251/55740/4323/1499/3845/23603/5604/9019/54914/214/26986/5329/6217/5576/387/4627/375/8573/6464/81/10095/10890/3688/5756/8829/1535/87/10094/1495/5058/60/10487/81848/382/2580/6176/57091/1948/7531/7529/11135/976/30011/1969/823/55742/55626/4035/567/3312/3685/3190/81873/10867/7739/26258/5328/5216/2535/57175/8394/10092/4869/726/10096/6187/3987/6175/2768/3691/7408/5754/1605/55612/3694/388/391/6548/7094/2697/7205/51164/8516/1072/7791/3383/966/23385/59341/2665/3055/1265/10971/3690/92154/10395/2275/4267/3159/824/23011/23332/3482/3728/5747/5786/4810/3672/5500/3674/23022/4026/23396/2037/5594/89870/2321/6840/5829/5170/6522/118/6132/5297/247/9448/8500/51474/3984/3689/9754/11252/6714/60312/54751",NA,"CC"
"GO:0101031","protein folding chaperone complex",30,0.622895855194727,2.10853321395573,5.23338792366334e-05,0.000430488361462629,0.000202982748744727,4216,"tags=67%, list=24%, signal=51%","51726/9531/10963/3320/23753/10574/22948/8607/10694/10856/10576/3312/10728/908/6950/5536/8624/11140/3326/7203",0.557332238758646,"CC"
"GO:0042611","MHC protein complex",22,0.672923349046572,2.10027926439161,9.09186646269542e-05,0.000688641370689306,0.000324706381949391,3948,"tags=64%, list=22%, signal=50%","3106/3133/3134/3113/3107/3105/3108/3135/567/3136/3115/3119/3140/972",0.538434096309916,"CC"
"GO:0016581","NuRD complex",15,0.716355750336464,2.05164762729912,0.000414786571181519,0.0025536515723738,0.00120409112510171,3400,"tags=67%, list=19%, signal=54%","9219/8099/3065/3066/1108/10263/5928/1107/54815/5931",0.49849310876659,"CC"
"GO:0030496","midbody",181,0.425887326892649,2.03279477426192,6.0091539731837e-08,1.46673342750914e-06,6.91590317982211e-07,4738,"tags=43%, list=27%, signal=32%","3309/63971/1894/7184/5898/55165/54443/6790/9928/55920/8502/9493/79801/1062/24137/9055/5347/29127/23255/332/10726/3619/8826/2773/4735/5911/221477/1063/387/10640/10112/55143/9816/9585/259266/23636/51100/4751/3192/983/84722/382/54536/5901/9817/27243/734/10190/9212/115098/5899/1500/55226/129138/311/1540/136647/153020/6513/60412/127829/23111/7251/9525/302/9025/9600/2079/84440/7798/57132/6294/5586/26112/25814/6840/54434/57448",0.704975715167238,"CC"
"GO:0070938","contractile ring",11,0.768086599922202,2.03109333855956,0.000437552150575691,0.00265656662849527,0.00125261736378509,2938,"tags=64%, list=16%, signal=53%","54443/9055/10296/4627/9585/26258/1605",0.49849310876659,"CC"
"GO:0098553","lumenal side of endoplasmic reticulum membrane",32,0.587085266785696,2.02643085618509,0.000232478945899362,0.00157386189038063,0.00074210325122057,4647,"tags=62%, list=26%, signal=46%","3106/3133/3134/811/81502/3113/3107/3105/821/6892/3135/3136/79053/3115/84888/10195/3119/972/7368/79087",0.518848077743792,"CC"
"GO:0042571","immunoglobulin complex, circulating",12,0.770899610932846,2.01399871132887,0.000162047737704281,0.00114783814207199,0.000541225645218842,1028,"tags=58%, list=6%, signal=55%","5284/3493/28912/3507/3512/3494/3501",0.518848077743792,"CC"
"GO:0098798","mitochondrial protein-containing complex",169,0.424208623448142,2.01264821308106,3.14862362411047e-07,5.60162109870816e-06,2.64126176182569e-06,5258,"tags=51%, list=30%, signal=36%","54927/10105/65080/10440/51021/10452/7818/51116/90550/57129/79594/10989/2395/23590/4580/10469/6182/55735/23107/84134/55669/51081/64969/29093/5245/9801/29103/51073/64963/51253/64960/54948/10573/740/51103/29088/55168/28977/63931/90480/292/64979/80273/10845/54148/440574/11222/64928/54931/63875/3028/92609/90580/401505/79135/80305/55052/51318/57107/23203/7416/6183/293/55245/55173/60488/51258/64965/25813/25880/9868/56945/56993/28976/64968/124995/1678/26520/84300/4706/29074/65993/79590/29090/221154/9804",0.674962860011025,"CC"
"GO:0030684","preribosome",101,0.463301301821924,2.00394897690886,4.12268454175053e-06,4.85208257606024e-05,2.28784131370902e-05,5391,"tags=55%, list=30%, signal=39%","10813/23212/88745/6217/56902/10969/7520/161424/51388/9790/51118/55720/8602/153443/10528/117246/22984/5591/4809/10199/30836/51077/55226/84946/9724/51154/10885/705/5394/9136/23160/83732/27340/8568/84135/65083/55127/27341/28987/57050/84916/84549/92856/128061/23076/23481/51018/51602/79050/80135/56342/26155/2091/25879/55759/10412",0.610526878385931,"CC"
"GO:0008250","oligosaccharyltransferase complex",13,0.718754862239748,1.99033697844606,0.000669675605939786,0.00377653107368457,0.00178070007619223,2821,"tags=69%, list=16%, signal=58%","3703/6185/1650/6184/84061/201595/58505/746/200185",0.477270815362862,"CC"
"GO:0005819","spindle",409,0.381651047672188,1.98978231023075,1e-10,4.02631578947368e-09,1.89847791351407e-09,3990,"tags=37%, list=22%, signal=29%","994/1894/79000/9793/2017/55055/2801/6790/3832/9928/24139/1213/55920/220134/8502/81610/150468/990/22974/81624/90417/9493/79801/1062/24137/9055/10296/54908/9787/5347/4281/29127/23255/991/3985/81930/891/348235/440145/25886/332/3833/10726/6196/3619/22919/203068/4735/1499/11335/150465/7283/996/221150/1432/146909/4609/26586/11004/4085/1063/137886/4627/80216/10112/55143/10460/9585/56992/2068/5905/259266/79866/23636/8766/51203/89765/701/4751/79184/3192/79003/1639/983/84722/126731/7272/79095/64793/284403/207/2010/9611/79980/5925/3161/55142/7013/143/6993/5885/8243/27243/26271/10459/54888/27339/51637/84259/55171/5423/11127/121441/157922/4869/9212/145508/83903/9371/26524/51143/1453/29899/8655/1729/151648/292/10474/79718/311/3550/808/10383/3636/150275/51164/1540/9183/252969/54820/11073/57509/10783/127829/9525/29922/4134/9587/5515/7813/23332",NA,"CC"
"GO:0030117","membrane coat",91,0.457820822311588,1.96154348469277,1.77454825251424e-05,0.000169691176646674,8.00123407667529e-05,5760,"tags=57%, list=32%, signal=39%","9685/22820/10483/163/9276/23423/1314/1213/9871/55317/83988/8943/372/9632/22818/1315/8546/56681/10016/55745/553115/26985/2060/22872/26958/51014/11316/27243/164/10802/57410/6396/84251/161/130340/3482/23431/55040/57132/162/8301/1175/51226/122616/160/1212/22905/25977/57617/1211/1173/91056",0.575610261071129,"CC"
"GO:0048475","coated membrane",91,0.457820822311588,1.96154348469277,1.77454825251424e-05,0.000169691176646674,8.00123407667529e-05,5760,"tags=57%, list=32%, signal=39%","9685/22820/10483/163/9276/23423/1314/1213/9871/55317/83988/8943/372/9632/22818/1315/8546/56681/10016/55745/553115/26985/2060/22872/26958/51014/11316/27243/164/10802/57410/6396/84251/161/130340/3482/23431/55040/57132/162/8301/1175/51226/122616/160/1212/22905/25977/57617/1211/1173/91056",0.575610261071129,"CC"
"GO:0030863","cortical cytoskeleton",100,0.445630065451709,1.9605359480297,1.2110186560226e-05,0.000123523902914305,5.82436683399142e-05,4872,"tags=46%, list=27%, signal=34%","4843/10211/7171/2017/54443/10097/7223/7414/10296/9948/8826/22919/9026/4627/81/357/829/87/23406/60/10487/6712/4771/4354/11034/81873/10092/6711/2764/1072/59341/3993/6513/999/92154/10395/3996/824/23332/6709/3092/2037/6401/832/8976/6710",0.593325476396405,"CC"
