"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000240256",-0.226506769490808,1.49920719396967,-3.47118128858608,0.000565580014681878,0.00204793187556115,-0.83633868763332,NA,NA,NA,"Not Significant"
"ENSG00000180869",0.34602034462865,-0.273286627009732,3.47110489619171,0.000565736920814114,0.00204816069924023,-0.642129486279228,"LINC01555","439927","long intergenic non-protein coding RNA 1555","Not Significant"
"ENSG00000244357",-0.253218842384789,-1.21995310057764,-3.47018774262726,0.000567623885722455,0.0020546518129099,-0.539552090511554,"RN7SL145P","106481753","RNA, 7SL, cytoplasmic 145, pseudogene","Not Significant"
"ENSG00000125686",0.084490732896966,5.29821469139614,3.46988344573427,0.000568251248403722,0.00205658209722003,-1.251055395568,"MED1","5469","mediator complex subunit 1","Not Significant"
"ENSG00000236194",-0.234387121985676,0.809906477746089,-3.46965882135006,0.000568714767395807,0.00205791886692099,-0.761129574258947,NA,NA,NA,"Not Significant"
"ENSG00000242887",0.520155194511595,-0.13856526112618,3.4688376633745,0.000570421065804986,0.00206375150045254,-0.629922842248341,"IGHJ3","28479","immunoglobulin heavy joining 3","Not Significant"
"ENSG00000151090",-0.250493765953003,3.59287660691516,-3.46874581478621,0.000570610462101885,0.00206409504463734,-1.11708671449805,"THRB","7068","thyroid hormone receptor beta","Not Significant"
"ENSG00000035499",0.170206242044044,3.6577986109257,3.46840495040185,0.000571308662007817,0.00206627868887024,-1.09196196383516,"DEPDC1B","55789","DEP domain containing 1B","Not Significant"
"ENSG00000166262",-0.0985022770159318,2.37225582536627,-3.46832249471331,0.000571479625550702,0.0020665550456711,-0.930262248480544,"FAM227B","196951","family with sequence similarity 227 member B","Not Significant"
"ENSG00000134575",0.218011650981812,5.45531665479932,3.46779408177245,0.000572584554636759,0.00207020811019702,-1.27012319965735,"ACP2","53","acid phosphatase 2, lysosomal","Not Significant"
"ENSG00000162782",0.285168128599257,0.761631523958468,3.46688185622671,0.000574474366474122,0.00207669727979795,-0.755763495785602,"TDRD5","163589","tudor domain containing 5","Not Significant"
"ENSG00000254098",0.669539039435743,-1.90479419794903,3.46638038151108,0.000575528336890028,0.00208016327618132,-0.43614414167009,"IGKV2-26","28922","immunoglobulin kappa variable 2-26 (pseudogene)","Not Significant"
"ENSG00000120963",-0.0911349937274641,5.49058749376246,-3.46632230192208,0.000575641492867209,0.00208022825200161,-1.27470275284492,"ZNF706","51123","zinc finger protein 706","Not Significant"
"ENSG00000214745",-0.326394584981032,-1.52600535172626,-3.46547371269742,0.000577415719561018,0.00208629491928015,-0.520167958299385,"GOT2P6","644924","GOT2 pseudogene 6","Not Significant"
"ENSG00000128052",0.303427414679014,4.29399539472378,3.46525071341739,0.000577891701381026,0.00208766959097251,-1.17266023240432,"KDR","3791","kinase insert domain receptor","Not Significant"
"ENSG00000224821",-0.390372924081636,-2.04435864769768,-3.46484040725542,0.000578743158833512,0.00209040001313258,-0.477522612655094,"COL4A2-AS2","100129836","COL4A2 antisense RNA 2","Not Significant"
"ENSG00000104808",-0.553016120884676,4.55168712416114,-3.46434352381039,0.000579838649338973,0.00209401082616533,-1.26466823967538,"DHDH","27294","dihydrodiol dehydrogenase","Not Significant"
"ENSG00000229241",-0.283783116434158,-0.488509374314581,-3.46422525085484,0.000580035285336108,0.00209437488787477,-0.653425182270212,NA,NA,NA,"Not Significant"
"ENSG00000132470",0.198120564843089,7.58962993563062,3.46399109893079,0.000580529775748805,0.00209546800640229,-1.24263711367016,"ITGB4","3691","integrin subunit beta 4","Not Significant"
"ENSG00000146535",0.152251493973051,4.34745778658138,3.46402092417279,0.0005804650661486,0.00209546800640229,-1.1937486169068,"GNA12","2768","G protein subunit alpha 12","Not Significant"
"ENSG00000237988",0.93193358609769,2.46968799316037,3.46383530653585,0.000580907823639053,0.00209648635955336,-0.883452192754421,"OR2I1","442197","olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)","Not Significant"
"ENSG00000103876",-0.159254393441202,4.15818140250295,-3.46346159601321,0.000581643079152687,0.00209873779005027,-1.19378039145127,"FAH","2184","fumarylacetoacetate hydrolase","Not Significant"
"ENSG00000243970",-0.256530778058862,-0.839944451885233,-3.46342334792345,0.000581723715781687,0.00209873779005027,-0.608499709590782,NA,NA,NA,"Not Significant"
"ENSG00000196116",0.123359430697231,6.07533422623299,3.46288213196859,0.00058286585537008,0.00210251132777166,-1.29360842376231,"TDRD7","23424","tudor domain containing 7","Not Significant"
"ENSG00000170035",0.0986009282868165,4.23350739088334,3.4625938014015,0.000583475180268484,0.00210436197028845,-1.19092579854303,"UBE2E3","10477","ubiquitin conjugating enzyme E2 E3","Not Significant"
"ENSG00000180867",0.129095595955403,1.80311724346695,3.46248634010965,0.000583702428833396,0.00210483423273102,-0.881684725202021,NA,NA,NA,"Not Significant"
"ENSG00000119616",0.0968360853658705,4.73443665245025,3.4623945828166,0.000583896533547967,0.00210518684216832,-1.23668340935677,"FCF1","51077","FCF1 rRNA-processing protein","Not Significant"
"ENSG00000260555",-0.246675380855808,-0.205058740564649,-3.46167685794766,0.000585416900443246,0.00211032026654916,-0.69546389488648,NA,NA,NA,"Not Significant"
"ENSG00000021300",0.251070459014481,2.75834023685027,3.46141611185766,0.000585971380110196,0.00211197072620192,-1.00158292693286,"PLEKHB1","58473","pleckstrin homology domain containing B1","Not Significant"
"ENSG00000164237",-0.257591083545751,6.8206411962913,-3.46132039137934,0.000586182361335764,0.00211238280121261,-1.27558604740286,"CMBL","134147","carboxymethylenebutenolidase homolog","Not Significant"
"ENSG00000262372",-0.231972968821808,-0.386490747622826,-3.46044846097878,0.000588027613316867,0.00211868307231346,-0.671865823619872,NA,NA,NA,"Not Significant"
"ENSG00000265279",-0.406358280296354,0.782146619159376,-3.46031123356358,0.000588328939582888,0.00211941936764853,-0.833994864495156,"CLUHP6","100418754","clustered mitochondria homolog pseudogene 6","Not Significant"
"ENSG00000145088",0.282379449820345,3.09768102605499,3.46004325622641,0.00058889665280628,0.00212111490503198,-1.01470374730073,"EAF2","55840","ELL associated factor 2","Not Significant"
