"sample","group","reason_median_logCPM","reason_low_within_group_correlation","sample_weight","avg_within_group_cor"
"MSCCR_reGRID_1319_Biopsy_2055","CD",FALSE,FALSE,0.436184699859093,0.899808266931837
"MSCCR_reGRID_132_Biopsy_265","CD",FALSE,FALSE,1.36284465397021,0.939278210832559
"MSCCR_reGRID_1326_Biopsy_2059","CD",FALSE,FALSE,0.949454604227739,0.936896972610419
"MSCCR_reGRID_133_Biopsy_269","CD",FALSE,FALSE,1.00240394423557,0.942497994471512
"MSCCR_reGRID_1330_Biopsy_2066","Control",FALSE,FALSE,0.889134742387944,0.931460763221468
"MSCCR_reGRID_1331_Biopsy_2068","Control",FALSE,FALSE,0.706903388822526,0.931313743280175
"MSCCR_reGRID_1332_Biopsy_2071","Control",FALSE,FALSE,1.5660069138813,0.940637470463618
"MSCCR_reGRID_1335_Biopsy_2074","Control",FALSE,FALSE,0.711685641795932,0.896993936738565
"MSCCR_reGRID_1337_Biopsy_2076","Control",FALSE,FALSE,1.67092942239448,0.942202925397039
"MSCCR_reGRID_1339_Biopsy_2077","CD",FALSE,FALSE,0.349938430160584,0.898065090160398
"MSCCR_reGRID_1340_Biopsy_2079","Control",FALSE,FALSE,0.904699315791009,0.929084215865858
"MSCCR_reGRID_1343_Biopsy_2083","CD",FALSE,FALSE,0.397986727448161,0.911581549510745
"MSCCR_reGRID_1344_Biopsy_2084","Control",FALSE,FALSE,0.530573802140996,0.905516681606098
"MSCCR_reGRID_1345_Biopsy_2087","CD",FALSE,FALSE,0.305364066726075,0.892508961123202
"MSCCR_reGRID_1346_Biopsy_2088","Control",FALSE,FALSE,1.05082423915902,0.929388902754835
"MSCCR_reGRID_1351_Biopsy_2094","Control",FALSE,FALSE,1.77442416339524,0.945361489414382
"MSCCR_reGRID_1353_Biopsy_2097","Control",FALSE,FALSE,1.37204904115109,0.942892274572292
"MSCCR_reGRID_1355_Biopsy_2101","Control",FALSE,FALSE,2.32694264539547,0.946534665886291
"MSCCR_reGRID_1356_Biopsy_2104","Control",FALSE,FALSE,0.445441429273422,0.904370229066366
"MSCCR_reGRID_1359_Biopsy_2107","Control",FALSE,FALSE,0.743806116507852,0.925500893047525
"MSCCR_reGRID_1360_Biopsy_2109","Control",FALSE,FALSE,0.601509104621165,0.911291689514465
"MSCCR_reGRID_1361_Biopsy_2111","Control",FALSE,FALSE,1.77745743944826,0.93979176846689
"MSCCR_reGRID_1363_Biopsy_2117","Control",FALSE,FALSE,0.686793721866794,0.932461664394236
"MSCCR_reGRID_1370_Biopsy_2130","Control",FALSE,FALSE,1.56834739998978,0.940891076981147
"MSCCR_reGRID_1372_Biopsy_2132","Control",FALSE,FALSE,0.697837000872683,0.931827251584667
"MSCCR_reGRID_1373_Biopsy_2134","Control",FALSE,FALSE,1.02789767336859,0.928375456959428
"MSCCR_reGRID_1375_Biopsy_2138","Control",FALSE,FALSE,0.903635399891094,0.93012791277321
"MSCCR_reGRID_1385_Biopsy_2149","Control",FALSE,FALSE,0.967180735424201,0.934900773881206
"MSCCR_reGRID_1388_Biopsy_2154","Control",FALSE,FALSE,2.31477271272805,0.948839437215679
"MSCCR_reGRID_1389_Biopsy_2156","Control",FALSE,FALSE,0.391466318917522,0.927038072958932
"MSCCR_reGRID_139_Biopsy_279","CD",FALSE,FALSE,1.79993695445797,0.945630732211011
"MSCCR_reGRID_1392_Biopsy_2163","Control",FALSE,FALSE,1.74246186895804,0.944088676764682
"MSCCR_reGRID_1393_Biopsy_2165","Control",FALSE,FALSE,1.44647448403594,0.94518616303596
"MSCCR_reGRID_1398_Biopsy_2169","Control",FALSE,FALSE,0.615774677710439,0.919772242584472
"MSCCR_reGRID_1400_Biopsy_2174","Control",FALSE,FALSE,1.68274449696374,0.943247189107667
"MSCCR_reGRID_1418_Biopsy_2195","Control",FALSE,FALSE,0.620458592854286,0.920022320642774
"MSCCR_reGRID_1433_Biopsy_2214","CD",FALSE,FALSE,0.740192730206234,0.92316926412462
"MSCCR_reGRID_1441_Biopsy_2224","CD",FALSE,TRUE,0.33275356796668,0.87552423501069
"MSCCR_reGRID_1455_Biopsy_2242","CD",FALSE,FALSE,1.53094734592407,0.941986158474896
"MSCCR_reGRID_1466_Biopsy_2250","CD",FALSE,FALSE,0.46723461805085,0.924050001344918
"MSCCR_reGRID_147_Biopsy_293","CD",FALSE,FALSE,0.809956489700258,0.920641618010523
"MSCCR_reGRID_1477_Biopsy_2262","CD",FALSE,FALSE,0.748381647588992,0.930310772782234
"MSCCR_reGRID_1482_Biopsy_2268","CD",FALSE,FALSE,0.601152269607997,0.930054100424048
"MSCCR_reGRID_1485_Biopsy_2270","CD",FALSE,FALSE,0.800341609596214,0.934641274259043
"MSCCR_reGRID_1488_Biopsy_2274","CD",FALSE,FALSE,0.452313252824984,0.898881198641671
"MSCCR_reGRID_1490_Biopsy_2278","CD",FALSE,FALSE,0.502596291896757,0.907813756591966
"MSCCR_reGRID_1499_Biopsy_2294","CD",FALSE,FALSE,0.943204334191354,0.930809626777633
"MSCCR_reGRID_15_Biopsy_32","CD",FALSE,FALSE,2.08969905768927,0.945187937411939
"MSCCR_reGRID_1505_Biopsy_2300","CD",FALSE,FALSE,0.413132380642327,0.911216363557385
"MSCCR_reGRID_151_Biopsy_296","CD",FALSE,FALSE,1.91409030404654,0.943815069185755
"MSCCR_reGRID_1514_Biopsy_2316","CD",FALSE,FALSE,0.551708305113095,0.924847211692674
"MSCCR_reGRID_1524_Biopsy_2329","CD",FALSE,FALSE,0.599226302076177,0.922757215848974
"MSCCR_reGRID_153_Biopsy_299","CD",FALSE,FALSE,1.31326043610416,0.938120835691632
"MSCCR_reGRID_1564_Biopsy_2383","CD",FALSE,FALSE,0.872330869621052,0.938445068043502
"MSCCR_reGRID_1572_Biopsy_2389","CD",FALSE,FALSE,0.840018779895797,0.929205935756589
"MSCCR_reGRID_1573_Biopsy_2392","CD",FALSE,FALSE,0.445806136677518,0.899047179465126
"MSCCR_reGRID_1587_Biopsy_2410","Control",FALSE,FALSE,1.26855928094754,0.938147282315061
"MSCCR_reGRID_16_Biopsy_34","CD",FALSE,FALSE,1.23453136928397,0.942852369507523
"MSCCR_reGRID_1602_Biopsy_2420","CD",FALSE,FALSE,0.703978632219995,0.926840680642654
"MSCCR_reGRID_1618_Biopsy_2433","CD",FALSE,FALSE,0.543948710581983,0.916070188159834
"MSCCR_reGRID_1619_Biopsy_2436","CD",FALSE,FALSE,0.728291545372838,0.931737416523501
