"cluster","cellAtlas","monacoImmune","Freq"
"10","T_cells","CD4+ T cells",0
"11","T_cells","CD4+ T cells",60
"12","T_cells","CD4+ T cells",0
"13","T_cells","CD4+ T cells",3
"0","B_cell","CD8+ T cells",0
"1","B_cell","CD8+ T cells",0
"2","B_cell","CD8+ T cells",0
"3","B_cell","CD8+ T cells",0
"4","B_cell","CD8+ T cells",0
"5","B_cell","CD8+ T cells",0
"6","B_cell","CD8+ T cells",0
"7","B_cell","CD8+ T cells",0
"8","B_cell","CD8+ T cells",0
"9","B_cell","CD8+ T cells",0
"10","B_cell","CD8+ T cells",0
"11","B_cell","CD8+ T cells",0
"12","B_cell","CD8+ T cells",0
"13","B_cell","CD8+ T cells",0
"0","BM","CD8+ T cells",0
"1","BM","CD8+ T cells",0
"2","BM","CD8+ T cells",0
"3","BM","CD8+ T cells",0
"4","BM","CD8+ T cells",0
"5","BM","CD8+ T cells",0
"6","BM","CD8+ T cells",0
"7","BM","CD8+ T cells",0
"8","BM","CD8+ T cells",0
"9","BM","CD8+ T cells",0
"10","BM","CD8+ T cells",0
"11","BM","CD8+ T cells",0
"12","BM","CD8+ T cells",0
"13","BM","CD8+ T cells",0
"0","BM & Prog.","CD8+ T cells",0
"1","BM & Prog.","CD8+ T cells",0
"2","BM & Prog.","CD8+ T cells",0
"3","BM & Prog.","CD8+ T cells",0
"4","BM & Prog.","CD8+ T cells",0
"5","BM & Prog.","CD8+ T cells",0
"6","BM & Prog.","CD8+ T cells",0
"7","BM & Prog.","CD8+ T cells",0
"8","BM & Prog.","CD8+ T cells",0
"9","BM & Prog.","CD8+ T cells",0
"10","BM & Prog.","CD8+ T cells",0
"11","BM & Prog.","CD8+ T cells",0
"12","BM & Prog.","CD8+ T cells",0
"13","BM & Prog.","CD8+ T cells",0
"0","Chondrocytes","CD8+ T cells",0
"1","Chondrocytes","CD8+ T cells",0
"2","Chondrocytes","CD8+ T cells",0
"3","Chondrocytes","CD8+ T cells",0
"4","Chondrocytes","CD8+ T cells",0
"5","Chondrocytes","CD8+ T cells",0
"6","Chondrocytes","CD8+ T cells",0
"7","Chondrocytes","CD8+ T cells",0
"8","Chondrocytes","CD8+ T cells",0
"9","Chondrocytes","CD8+ T cells",0
"10","Chondrocytes","CD8+ T cells",0
"11","Chondrocytes","CD8+ T cells",0
"12","Chondrocytes","CD8+ T cells",0
"13","Chondrocytes","CD8+ T cells",0
"0","DC","CD8+ T cells",0
"1","DC","CD8+ T cells",0
"2","DC","CD8+ T cells",0
"3","DC","CD8+ T cells",0
"4","DC","CD8+ T cells",0
"5","DC","CD8+ T cells",0
"6","DC","CD8+ T cells",0
"7","DC","CD8+ T cells",0
"8","DC","CD8+ T cells",0
"9","DC","CD8+ T cells",0
"10","DC","CD8+ T cells",0
"11","DC","CD8+ T cells",0
"12","DC","CD8+ T cells",0
"13","DC","CD8+ T cells",0
"0","Endothelial_cells","CD8+ T cells",0
"1","Endothelial_cells","CD8+ T cells",0
"2","Endothelial_cells","CD8+ T cells",0
"3","Endothelial_cells","CD8+ T cells",0
"4","Endothelial_cells","CD8+ T cells",0
"5","Endothelial_cells","CD8+ T cells",0
"6","Endothelial_cells","CD8+ T cells",0
"7","Endothelial_cells","CD8+ T cells",0
"8","Endothelial_cells","CD8+ T cells",0
"9","Endothelial_cells","CD8+ T cells",0
"10","Endothelial_cells","CD8+ T cells",0
"11","Endothelial_cells","CD8+ T cells",0
"12","Endothelial_cells","CD8+ T cells",0
"13","Endothelial_cells","CD8+ T cells",0
"0","Epithelial_cells","CD8+ T cells",0
"1","Epithelial_cells","CD8+ T cells",0
"2","Epithelial_cells","CD8+ T cells",0
"3","Epithelial_cells","CD8+ T cells",0
"4","Epithelial_cells","CD8+ T cells",0
"5","Epithelial_cells","CD8+ T cells",0
"6","Epithelial_cells","CD8+ T cells",0
"7","Epithelial_cells","CD8+ T cells",0
"8","Epithelial_cells","CD8+ T cells",0
"9","Epithelial_cells","CD8+ T cells",0
"10","Epithelial_cells","CD8+ T cells",0
"11","Epithelial_cells","CD8+ T cells",0
"12","Epithelial_cells","CD8+ T cells",0
"13","Epithelial_cells","CD8+ T cells",0
"0","Erythroblast","CD8+ T cells",0
"1","Erythroblast","CD8+ T cells",0
"2","Erythroblast","CD8+ T cells",0
"3","Erythroblast","CD8+ T cells",0
"4","Erythroblast","CD8+ T cells",0
"5","Erythroblast","CD8+ T cells",0
"6","Erythroblast","CD8+ T cells",0
"7","Erythroblast","CD8+ T cells",0
"8","Erythroblast","CD8+ T cells",0
"9","Erythroblast","CD8+ T cells",0
"10","Erythroblast","CD8+ T cells",0
"11","Erythroblast","CD8+ T cells",0
"12","Erythroblast","CD8+ T cells",0
"13","Erythroblast","CD8+ T cells",0
"0","Fibroblasts","CD8+ T cells",0
"1","Fibroblasts","CD8+ T cells",0
"2","Fibroblasts","CD8+ T cells",0
"3","Fibroblasts","CD8+ T cells",0
"4","Fibroblasts","CD8+ T cells",0
"5","Fibroblasts","CD8+ T cells",0
"6","Fibroblasts","CD8+ T cells",0
"7","Fibroblasts","CD8+ T cells",0
"8","Fibroblasts","CD8+ T cells",0
"9","Fibroblasts","CD8+ T cells",0
"10","Fibroblasts","CD8+ T cells",0
"11","Fibroblasts","CD8+ T cells",0
"12","Fibroblasts","CD8+ T cells",0
"13","Fibroblasts","CD8+ T cells",0
"0","Hepatocytes","CD8+ T cells",0
"1","Hepatocytes","CD8+ T cells",0
"2","Hepatocytes","CD8+ T cells",0
"3","Hepatocytes","CD8+ T cells",0
"4","Hepatocytes","CD8+ T cells",0
"5","Hepatocytes","CD8+ T cells",0
"6","Hepatocytes","CD8+ T cells",0
"7","Hepatocytes","CD8+ T cells",0
"8","Hepatocytes","CD8+ T cells",0
"9","Hepatocytes","CD8+ T cells",0
"10","Hepatocytes","CD8+ T cells",0
"11","Hepatocytes","CD8+ T cells",0
"12","Hepatocytes","CD8+ T cells",0
"13","Hepatocytes","CD8+ T cells",0
"0","HSC_-G-CSF","CD8+ T cells",0
"1","HSC_-G-CSF","CD8+ T cells",0
"2","HSC_-G-CSF","CD8+ T cells",0
"3","HSC_-G-CSF","CD8+ T cells",0
"4","HSC_-G-CSF","CD8+ T cells",0
"5","HSC_-G-CSF","CD8+ T cells",0
"6","HSC_-G-CSF","CD8+ T cells",0
"7","HSC_-G-CSF","CD8+ T cells",0
"8","HSC_-G-CSF","CD8+ T cells",0
"9","HSC_-G-CSF","CD8+ T cells",0
"10","HSC_-G-CSF","CD8+ T cells",0
"11","HSC_-G-CSF","CD8+ T cells",0
"12","HSC_-G-CSF","CD8+ T cells",0
"13","HSC_-G-CSF","CD8+ T cells",0
"0","Macrophage","CD8+ T cells",0
"1","Macrophage","CD8+ T cells",0
"2","Macrophage","CD8+ T cells",0
"3","Macrophage","CD8+ T cells",0
"4","Macrophage","CD8+ T cells",0
"5","Macrophage","CD8+ T cells",0
"6","Macrophage","CD8+ T cells",0
"7","Macrophage","CD8+ T cells",0
"8","Macrophage","CD8+ T cells",0
"9","Macrophage","CD8+ T cells",0
"10","Macrophage","CD8+ T cells",0
"11","Macrophage","CD8+ T cells",0
"12","Macrophage","CD8+ T cells",0
"13","Macrophage","CD8+ T cells",0
"0","MEP","CD8+ T cells",0
"1","MEP","CD8+ T cells",0
"2","MEP","CD8+ T cells",0
"3","MEP","CD8+ T cells",0
"4","MEP","CD8+ T cells",0
"5","MEP","CD8+ T cells",0
"6","MEP","CD8+ T cells",0
"7","MEP","CD8+ T cells",0
"8","MEP","CD8+ T cells",0
"9","MEP","CD8+ T cells",0
"10","MEP","CD8+ T cells",0
"11","MEP","CD8+ T cells",0
"12","MEP","CD8+ T cells",0
"13","MEP","CD8+ T cells",0
"0","Monocyte","CD8+ T cells",0
"1","Monocyte","CD8+ T cells",0
"2","Monocyte","CD8+ T cells",0
"3","Monocyte","CD8+ T cells",0
"4","Monocyte","CD8+ T cells",0
"5","Monocyte","CD8+ T cells",0
"6","Monocyte","CD8+ T cells",0
"7","Monocyte","CD8+ T cells",0
"8","Monocyte","CD8+ T cells",0
"9","Monocyte","CD8+ T cells",0
"10","Monocyte","CD8+ T cells",0
"11","Monocyte","CD8+ T cells",0
"12","Monocyte","CD8+ T cells",0
"13","Monocyte","CD8+ T cells",0
"0","NK_cell","CD8+ T cells",6
"1","NK_cell","CD8+ T cells",0
"2","NK_cell","CD8+ T cells",0
"3","NK_cell","CD8+ T cells",0
"4","NK_cell","CD8+ T cells",0
"5","NK_cell","CD8+ T cells",0
"6","NK_cell","CD8+ T cells",0
"7","NK_cell","CD8+ T cells",0
"8","NK_cell","CD8+ T cells",0
"9","NK_cell","CD8+ T cells",1
"10","NK_cell","CD8+ T cells",0
"11","NK_cell","CD8+ T cells",0
"12","NK_cell","CD8+ T cells",0
"13","NK_cell","CD8+ T cells",0
"0","Pre-B_cell_CD34-","CD8+ T cells",0
"1","Pre-B_cell_CD34-","CD8+ T cells",0
"2","Pre-B_cell_CD34-","CD8+ T cells",0
"3","Pre-B_cell_CD34-","CD8+ T cells",0
"4","Pre-B_cell_CD34-","CD8+ T cells",0
"5","Pre-B_cell_CD34-","CD8+ T cells",0
"6","Pre-B_cell_CD34-","CD8+ T cells",0
"7","Pre-B_cell_CD34-","CD8+ T cells",0
"8","Pre-B_cell_CD34-","CD8+ T cells",0
"9","Pre-B_cell_CD34-","CD8+ T cells",0
"10","Pre-B_cell_CD34-","CD8+ T cells",0
"11","Pre-B_cell_CD34-","CD8+ T cells",0
"12","Pre-B_cell_CD34-","CD8+ T cells",0
"13","Pre-B_cell_CD34-","CD8+ T cells",0
"0","Pro-B_cell_CD34+","CD8+ T cells",0
"1","Pro-B_cell_CD34+","CD8+ T cells",0
"2","Pro-B_cell_CD34+","CD8+ T cells",0
"3","Pro-B_cell_CD34+","CD8+ T cells",0
"4","Pro-B_cell_CD34+","CD8+ T cells",0
"5","Pro-B_cell_CD34+","CD8+ T cells",0
"6","Pro-B_cell_CD34+","CD8+ T cells",0
"7","Pro-B_cell_CD34+","CD8+ T cells",0
"8","Pro-B_cell_CD34+","CD8+ T cells",0
"9","Pro-B_cell_CD34+","CD8+ T cells",0
"10","Pro-B_cell_CD34+","CD8+ T cells",0
"11","Pro-B_cell_CD34+","CD8+ T cells",0
"12","Pro-B_cell_CD34+","CD8+ T cells",0
"13","Pro-B_cell_CD34+","CD8+ T cells",0
"0","T_cells","CD8+ T cells",1040
"1","T_cells","CD8+ T cells",865
"2","T_cells","CD8+ T cells",403
"3","T_cells","CD8+ T cells",47
"4","T_cells","CD8+ T cells",38
"5","T_cells","CD8+ T cells",186
"6","T_cells","CD8+ T cells",54
"7","T_cells","CD8+ T cells",3
"8","T_cells","CD8+ T cells",36
"9","T_cells","CD8+ T cells",146
"10","T_cells","CD8+ T cells",125
"11","T_cells","CD8+ T cells",18
"12","T_cells","CD8+ T cells",3
"13","T_cells","CD8+ T cells",6
"0","B_cell","Dendritic cells",0
"1","B_cell","Dendritic cells",0
"2","B_cell","Dendritic cells",0
"3","B_cell","Dendritic cells",0
"4","B_cell","Dendritic cells",0
"5","B_cell","Dendritic cells",0
"6","B_cell","Dendritic cells",0
"7","B_cell","Dendritic cells",0
"8","B_cell","Dendritic cells",0
"9","B_cell","Dendritic cells",0
"10","B_cell","Dendritic cells",0
"11","B_cell","Dendritic cells",0
"12","B_cell","Dendritic cells",0
"13","B_cell","Dendritic cells",0
"0","BM","Dendritic cells",0
"1","BM","Dendritic cells",0
"2","BM","Dendritic cells",0
"3","BM","Dendritic cells",0
"4","BM","Dendritic cells",0
"5","BM","Dendritic cells",0
"6","BM","Dendritic cells",0
"7","BM","Dendritic cells",0
"8","BM","Dendritic cells",0
"9","BM","Dendritic cells",0
"10","BM","Dendritic cells",0
"11","BM","Dendritic cells",0
"12","BM","Dendritic cells",0
"13","BM","Dendritic cells",0
"0","BM & Prog.","Dendritic cells",0
"1","BM & Prog.","Dendritic cells",0
"2","BM & Prog.","Dendritic cells",0
"3","BM & Prog.","Dendritic cells",0
"4","BM & Prog.","Dendritic cells",0
"5","BM & Prog.","Dendritic cells",0
"6","BM & Prog.","Dendritic cells",0
"7","BM & Prog.","Dendritic cells",0
"8","BM & Prog.","Dendritic cells",0
"9","BM & Prog.","Dendritic cells",0
"10","BM & Prog.","Dendritic cells",0
"11","BM & Prog.","Dendritic cells",0
"12","BM & Prog.","Dendritic cells",0
"13","BM & Prog.","Dendritic cells",0
"0","Chondrocytes","Dendritic cells",0
"1","Chondrocytes","Dendritic cells",0
"2","Chondrocytes","Dendritic cells",0
"3","Chondrocytes","Dendritic cells",0
"4","Chondrocytes","Dendritic cells",0
"5","Chondrocytes","Dendritic cells",0
"6","Chondrocytes","Dendritic cells",0
"7","Chondrocytes","Dendritic cells",0
"8","Chondrocytes","Dendritic cells",0
"9","Chondrocytes","Dendritic cells",0
"10","Chondrocytes","Dendritic cells",0
"11","Chondrocytes","Dendritic cells",0
"12","Chondrocytes","Dendritic cells",0
"13","Chondrocytes","Dendritic cells",0
"0","DC","Dendritic cells",0
"1","DC","Dendritic cells",0
"2","DC","Dendritic cells",0
"3","DC","Dendritic cells",0
"4","DC","Dendritic cells",0
"5","DC","Dendritic cells",0
"6","DC","Dendritic cells",0
"7","DC","Dendritic cells",0
"8","DC","Dendritic cells",0
"9","DC","Dendritic cells",0
"10","DC","Dendritic cells",0
"11","DC","Dendritic cells",0
"12","DC","Dendritic cells",0
"13","DC","Dendritic cells",0
"0","Endothelial_cells","Dendritic cells",0
"1","Endothelial_cells","Dendritic cells",0
"2","Endothelial_cells","Dendritic cells",0
"3","Endothelial_cells","Dendritic cells",0
"4","Endothelial_cells","Dendritic cells",0
"5","Endothelial_cells","Dendritic cells",0
"6","Endothelial_cells","Dendritic cells",0
"7","Endothelial_cells","Dendritic cells",0
"8","Endothelial_cells","Dendritic cells",0
"9","Endothelial_cells","Dendritic cells",0
"10","Endothelial_cells","Dendritic cells",0
"11","Endothelial_cells","Dendritic cells",0
"12","Endothelial_cells","Dendritic cells",0
"13","Endothelial_cells","Dendritic cells",3
"0","Epithelial_cells","Dendritic cells",0
"1","Epithelial_cells","Dendritic cells",0
"2","Epithelial_cells","Dendritic cells",0
"3","Epithelial_cells","Dendritic cells",0
"4","Epithelial_cells","Dendritic cells",0
"5","Epithelial_cells","Dendritic cells",0
"6","Epithelial_cells","Dendritic cells",0
"7","Epithelial_cells","Dendritic cells",0
"8","Epithelial_cells","Dendritic cells",0
"9","Epithelial_cells","Dendritic cells",0
"10","Epithelial_cells","Dendritic cells",0
"11","Epithelial_cells","Dendritic cells",1
"12","Epithelial_cells","Dendritic cells",0
"13","Epithelial_cells","Dendritic cells",6
"0","Erythroblast","Dendritic cells",0
"1","Erythroblast","Dendritic cells",0
"2","Erythroblast","Dendritic cells",0
"3","Erythroblast","Dendritic cells",0
"4","Erythroblast","Dendritic cells",0
"5","Erythroblast","Dendritic cells",0
"6","Erythroblast","Dendritic cells",0
"7","Erythroblast","Dendritic cells",0
"8","Erythroblast","Dendritic cells",0
"9","Erythroblast","Dendritic cells",0
"10","Erythroblast","Dendritic cells",0
"11","Erythroblast","Dendritic cells",0
"12","Erythroblast","Dendritic cells",0
"13","Erythroblast","Dendritic cells",0
"0","Fibroblasts","Dendritic cells",0
"1","Fibroblasts","Dendritic cells",0
"2","Fibroblasts","Dendritic cells",0
"3","Fibroblasts","Dendritic cells",0
"4","Fibroblasts","Dendritic cells",0
"5","Fibroblasts","Dendritic cells",0
"6","Fibroblasts","Dendritic cells",0
"7","Fibroblasts","Dendritic cells",0
"8","Fibroblasts","Dendritic cells",0
"9","Fibroblasts","Dendritic cells",0
"10","Fibroblasts","Dendritic cells",0
"11","Fibroblasts","Dendritic cells",0
"12","Fibroblasts","Dendritic cells",0
"13","Fibroblasts","Dendritic cells",0
"0","Hepatocytes","Dendritic cells",0
"1","Hepatocytes","Dendritic cells",0
"2","Hepatocytes","Dendritic cells",0
"3","Hepatocytes","Dendritic cells",0
"4","Hepatocytes","Dendritic cells",0
"5","Hepatocytes","Dendritic cells",0
"6","Hepatocytes","Dendritic cells",0
"7","Hepatocytes","Dendritic cells",1
"8","Hepatocytes","Dendritic cells",0
"9","Hepatocytes","Dendritic cells",0
"10","Hepatocytes","Dendritic cells",0
"11","Hepatocytes","Dendritic cells",0
"12","Hepatocytes","Dendritic cells",0
"13","Hepatocytes","Dendritic cells",0
"0","HSC_-G-CSF","Dendritic cells",0
"1","HSC_-G-CSF","Dendritic cells",0
"2","HSC_-G-CSF","Dendritic cells",0
"3","HSC_-G-CSF","Dendritic cells",0
"4","HSC_-G-CSF","Dendritic cells",0
"5","HSC_-G-CSF","Dendritic cells",0
"6","HSC_-G-CSF","Dendritic cells",0
"7","HSC_-G-CSF","Dendritic cells",0
"8","HSC_-G-CSF","Dendritic cells",0
"9","HSC_-G-CSF","Dendritic cells",0
"10","HSC_-G-CSF","Dendritic cells",0
"11","HSC_-G-CSF","Dendritic cells",0
"12","HSC_-G-CSF","Dendritic cells",0
"13","HSC_-G-CSF","Dendritic cells",1
"0","Macrophage","Dendritic cells",0
"1","Macrophage","Dendritic cells",0
"2","Macrophage","Dendritic cells",0
"3","Macrophage","Dendritic cells",0
"4","Macrophage","Dendritic cells",0
"5","Macrophage","Dendritic cells",0
"6","Macrophage","Dendritic cells",0
"7","Macrophage","Dendritic cells",0
"8","Macrophage","Dendritic cells",0
"9","Macrophage","Dendritic cells",0
"10","Macrophage","Dendritic cells",0
"11","Macrophage","Dendritic cells",0
"12","Macrophage","Dendritic cells",0
"13","Macrophage","Dendritic cells",0
"0","MEP","Dendritic cells",0
"1","MEP","Dendritic cells",0
"2","MEP","Dendritic cells",0
"3","MEP","Dendritic cells",0
"4","MEP","Dendritic cells",0
"5","MEP","Dendritic cells",0
"6","MEP","Dendritic cells",0
"7","MEP","Dendritic cells",0
"8","MEP","Dendritic cells",0
"9","MEP","Dendritic cells",0
"10","MEP","Dendritic cells",0
"11","MEP","Dendritic cells",0
"12","MEP","Dendritic cells",0
"13","MEP","Dendritic cells",0
"0","Monocyte","Dendritic cells",0
"1","Monocyte","Dendritic cells",0
"2","Monocyte","Dendritic cells",0
"3","Monocyte","Dendritic cells",0
"4","Monocyte","Dendritic cells",0
"5","Monocyte","Dendritic cells",0
"6","Monocyte","Dendritic cells",0
"7","Monocyte","Dendritic cells",0
"8","Monocyte","Dendritic cells",0
"9","Monocyte","Dendritic cells",0
"10","Monocyte","Dendritic cells",0
"11","Monocyte","Dendritic cells",0
"12","Monocyte","Dendritic cells",0
"13","Monocyte","Dendritic cells",1
"0","NK_cell","Dendritic cells",0
"1","NK_cell","Dendritic cells",0
"2","NK_cell","Dendritic cells",0
"3","NK_cell","Dendritic cells",0
"4","NK_cell","Dendritic cells",0
"5","NK_cell","Dendritic cells",0
"6","NK_cell","Dendritic cells",0
"7","NK_cell","Dendritic cells",0
"8","NK_cell","Dendritic cells",0
"9","NK_cell","Dendritic cells",0
"10","NK_cell","Dendritic cells",0
"11","NK_cell","Dendritic cells",0
"12","NK_cell","Dendritic cells",0
"13","NK_cell","Dendritic cells",0
"0","Pre-B_cell_CD34-","Dendritic cells",0
"1","Pre-B_cell_CD34-","Dendritic cells",0
"2","Pre-B_cell_CD34-","Dendritic cells",0
"3","Pre-B_cell_CD34-","Dendritic cells",0
"4","Pre-B_cell_CD34-","Dendritic cells",0
"5","Pre-B_cell_CD34-","Dendritic cells",0
"6","Pre-B_cell_CD34-","Dendritic cells",0
"7","Pre-B_cell_CD34-","Dendritic cells",0
"8","Pre-B_cell_CD34-","Dendritic cells",0
"9","Pre-B_cell_CD34-","Dendritic cells",0
"10","Pre-B_cell_CD34-","Dendritic cells",0
"11","Pre-B_cell_CD34-","Dendritic cells",0
"12","Pre-B_cell_CD34-","Dendritic cells",0
"13","Pre-B_cell_CD34-","Dendritic cells",12
"0","Pro-B_cell_CD34+","Dendritic cells",0
"1","Pro-B_cell_CD34+","Dendritic cells",0
"2","Pro-B_cell_CD34+","Dendritic cells",0
"3","Pro-B_cell_CD34+","Dendritic cells",0
"4","Pro-B_cell_CD34+","Dendritic cells",0
"5","Pro-B_cell_CD34+","Dendritic cells",0
"6","Pro-B_cell_CD34+","Dendritic cells",0
"7","Pro-B_cell_CD34+","Dendritic cells",0
"8","Pro-B_cell_CD34+","Dendritic cells",0
"9","Pro-B_cell_CD34+","Dendritic cells",0
"10","Pro-B_cell_CD34+","Dendritic cells",0
"11","Pro-B_cell_CD34+","Dendritic cells",0
"12","Pro-B_cell_CD34+","Dendritic cells",0
"13","Pro-B_cell_CD34+","Dendritic cells",0
"0","T_cells","Dendritic cells",0
"1","T_cells","Dendritic cells",0
"2","T_cells","Dendritic cells",0
"3","T_cells","Dendritic cells",0
"4","T_cells","Dendritic cells",0
"5","T_cells","Dendritic cells",0
"6","T_cells","Dendritic cells",0
"7","T_cells","Dendritic cells",0
"8","T_cells","Dendritic cells",0
"9","T_cells","Dendritic cells",0
"10","T_cells","Dendritic cells",0
"11","T_cells","Dendritic cells",0
"12","T_cells","Dendritic cells",0
"13","T_cells","Dendritic cells",2
"0","B_cell","Monocytes",0
"1","B_cell","Monocytes",0
"2","B_cell","Monocytes",0
"3","B_cell","Monocytes",0
"4","B_cell","Monocytes",0
"5","B_cell","Monocytes",0
"6","B_cell","Monocytes",0
"7","B_cell","Monocytes",0
"8","B_cell","Monocytes",0
"9","B_cell","Monocytes",0
"10","B_cell","Monocytes",0
"11","B_cell","Monocytes",0
"12","B_cell","Monocytes",0
"13","B_cell","Monocytes",0
"0","BM","Monocytes",0
"1","BM","Monocytes",0
"2","BM","Monocytes",0
"3","BM","Monocytes",0
"4","BM","Monocytes",0
"5","BM","Monocytes",0
"6","BM","Monocytes",0
"7","BM","Monocytes",0
"8","BM","Monocytes",0
"9","BM","Monocytes",0
"10","BM","Monocytes",0
"11","BM","Monocytes",0
"12","BM","Monocytes",0
"13","BM","Monocytes",0
"0","BM & Prog.","Monocytes",0
"1","BM & Prog.","Monocytes",0
"2","BM & Prog.","Monocytes",0
"3","BM & Prog.","Monocytes",0
"4","BM & Prog.","Monocytes",0
"5","BM & Prog.","Monocytes",0
"6","BM & Prog.","Monocytes",0
"7","BM & Prog.","Monocytes",0
"8","BM & Prog.","Monocytes",0
"9","BM & Prog.","Monocytes",0
"10","BM & Prog.","Monocytes",0
"11","BM & Prog.","Monocytes",0
"12","BM & Prog.","Monocytes",0
"13","BM & Prog.","Monocytes",0
"0","Chondrocytes","Monocytes",0
"1","Chondrocytes","Monocytes",0
"2","Chondrocytes","Monocytes",0
"3","Chondrocytes","Monocytes",0
"4","Chondrocytes","Monocytes",0
"5","Chondrocytes","Monocytes",0
"6","Chondrocytes","Monocytes",0
"7","Chondrocytes","Monocytes",0
"8","Chondrocytes","Monocytes",0
"9","Chondrocytes","Monocytes",0
"10","Chondrocytes","Monocytes",0
"11","Chondrocytes","Monocytes",0
"12","Chondrocytes","Monocytes",0
"13","Chondrocytes","Monocytes",1
"0","DC","Monocytes",0
"1","DC","Monocytes",0
"2","DC","Monocytes",0
"3","DC","Monocytes",0
"4","DC","Monocytes",0
"5","DC","Monocytes",0
"6","DC","Monocytes",0
"7","DC","Monocytes",0
"8","DC","Monocytes",0
"9","DC","Monocytes",0
"10","DC","Monocytes",0
"11","DC","Monocytes",0
"12","DC","Monocytes",0
"13","DC","Monocytes",4
"0","Endothelial_cells","Monocytes",0
"1","Endothelial_cells","Monocytes",1
"2","Endothelial_cells","Monocytes",0
"3","Endothelial_cells","Monocytes",0
"4","Endothelial_cells","Monocytes",0
"5","Endothelial_cells","Monocytes",0
"6","Endothelial_cells","Monocytes",0
"7","Endothelial_cells","Monocytes",0
"8","Endothelial_cells","Monocytes",0
"9","Endothelial_cells","Monocytes",0
"10","Endothelial_cells","Monocytes",0
"11","Endothelial_cells","Monocytes",0
"12","Endothelial_cells","Monocytes",0
"13","Endothelial_cells","Monocytes",1
"0","Epithelial_cells","Monocytes",0
"1","Epithelial_cells","Monocytes",0
"2","Epithelial_cells","Monocytes",1
"3","Epithelial_cells","Monocytes",0
"4","Epithelial_cells","Monocytes",0
"5","Epithelial_cells","Monocytes",0
"6","Epithelial_cells","Monocytes",0
"7","Epithelial_cells","Monocytes",0
"8","Epithelial_cells","Monocytes",0
"9","Epithelial_cells","Monocytes",0
"10","Epithelial_cells","Monocytes",0
"11","Epithelial_cells","Monocytes",1
"12","Epithelial_cells","Monocytes",0
"13","Epithelial_cells","Monocytes",9
"0","Erythroblast","Monocytes",0
"1","Erythroblast","Monocytes",0
"2","Erythroblast","Monocytes",0
"3","Erythroblast","Monocytes",0
"4","Erythroblast","Monocytes",0
"5","Erythroblast","Monocytes",0
"6","Erythroblast","Monocytes",0
"7","Erythroblast","Monocytes",0
"8","Erythroblast","Monocytes",0
"9","Erythroblast","Monocytes",0
"10","Erythroblast","Monocytes",0
"11","Erythroblast","Monocytes",0
"12","Erythroblast","Monocytes",0
"13","Erythroblast","Monocytes",0
"0","Fibroblasts","Monocytes",0
"1","Fibroblasts","Monocytes",0
"2","Fibroblasts","Monocytes",0
"3","Fibroblasts","Monocytes",0
"4","Fibroblasts","Monocytes",0
"5","Fibroblasts","Monocytes",0
"6","Fibroblasts","Monocytes",0
"7","Fibroblasts","Monocytes",0
"8","Fibroblasts","Monocytes",0
"9","Fibroblasts","Monocytes",0
"10","Fibroblasts","Monocytes",0
"11","Fibroblasts","Monocytes",0
"12","Fibroblasts","Monocytes",0
"13","Fibroblasts","Monocytes",1
"0","Hepatocytes","Monocytes",0
"1","Hepatocytes","Monocytes",0
"2","Hepatocytes","Monocytes",0
"3","Hepatocytes","Monocytes",0
"4","Hepatocytes","Monocytes",0
"5","Hepatocytes","Monocytes",0
"6","Hepatocytes","Monocytes",0
"7","Hepatocytes","Monocytes",0
"8","Hepatocytes","Monocytes",0
"9","Hepatocytes","Monocytes",0
"10","Hepatocytes","Monocytes",0
"11","Hepatocytes","Monocytes",0
"12","Hepatocytes","Monocytes",0
"13","Hepatocytes","Monocytes",2
"0","HSC_-G-CSF","Monocytes",0
"1","HSC_-G-CSF","Monocytes",0
"2","HSC_-G-CSF","Monocytes",0
"3","HSC_-G-CSF","Monocytes",0
"4","HSC_-G-CSF","Monocytes",0
"5","HSC_-G-CSF","Monocytes",0
"6","HSC_-G-CSF","Monocytes",0
"7","HSC_-G-CSF","Monocytes",0
"8","HSC_-G-CSF","Monocytes",0
"9","HSC_-G-CSF","Monocytes",0
"10","HSC_-G-CSF","Monocytes",0
"11","HSC_-G-CSF","Monocytes",0
"12","HSC_-G-CSF","Monocytes",0
"13","HSC_-G-CSF","Monocytes",2
"0","Macrophage","Monocytes",0
"1","Macrophage","Monocytes",0
"2","Macrophage","Monocytes",0
"3","Macrophage","Monocytes",0
"4","Macrophage","Monocytes",0
"5","Macrophage","Monocytes",0
"6","Macrophage","Monocytes",0
"7","Macrophage","Monocytes",0
"8","Macrophage","Monocytes",0
"9","Macrophage","Monocytes",0
"10","Macrophage","Monocytes",0
"11","Macrophage","Monocytes",0
"12","Macrophage","Monocytes",0
"13","Macrophage","Monocytes",1
"0","MEP","Monocytes",0
"1","MEP","Monocytes",0
"2","MEP","Monocytes",0
"3","MEP","Monocytes",0
"4","MEP","Monocytes",0
"5","MEP","Monocytes",0
"6","MEP","Monocytes",0
"7","MEP","Monocytes",0
"8","MEP","Monocytes",0
"9","MEP","Monocytes",0
"10","MEP","Monocytes",0
"11","MEP","Monocytes",0
"12","MEP","Monocytes",0
"13","MEP","Monocytes",0
"0","Monocyte","Monocytes",0
"1","Monocyte","Monocytes",0
"2","Monocyte","Monocytes",0
"3","Monocyte","Monocytes",0
"4","Monocyte","Monocytes",0
