"cluster","cellAtlas","monacoImmune","Freq"
"5","MEP","B cells",0
"6","MEP","B cells",0
"7","MEP","B cells",0
"8","MEP","B cells",0
"9","MEP","B cells",0
"10","MEP","B cells",0
"11","MEP","B cells",0
"12","MEP","B cells",0
"13","MEP","B cells",0
"0","Monocyte","B cells",0
"1","Monocyte","B cells",0
"2","Monocyte","B cells",0
"3","Monocyte","B cells",0
"4","Monocyte","B cells",0
"5","Monocyte","B cells",0
"6","Monocyte","B cells",0
"7","Monocyte","B cells",0
"8","Monocyte","B cells",0
"9","Monocyte","B cells",0
"10","Monocyte","B cells",0
"11","Monocyte","B cells",0
"12","Monocyte","B cells",0
"13","Monocyte","B cells",0
"0","NK_cell","B cells",0
"1","NK_cell","B cells",0
"2","NK_cell","B cells",0
"3","NK_cell","B cells",0
"4","NK_cell","B cells",0
"5","NK_cell","B cells",0
"6","NK_cell","B cells",0
"7","NK_cell","B cells",0
"8","NK_cell","B cells",0
"9","NK_cell","B cells",0
"10","NK_cell","B cells",0
"11","NK_cell","B cells",0
"12","NK_cell","B cells",0
"13","NK_cell","B cells",1
"0","Pre-B_cell_CD34-","B cells",0
"1","Pre-B_cell_CD34-","B cells",0
"2","Pre-B_cell_CD34-","B cells",0
"3","Pre-B_cell_CD34-","B cells",0
"4","Pre-B_cell_CD34-","B cells",0
"5","Pre-B_cell_CD34-","B cells",0
"6","Pre-B_cell_CD34-","B cells",0
"7","Pre-B_cell_CD34-","B cells",0
"8","Pre-B_cell_CD34-","B cells",0
"9","Pre-B_cell_CD34-","B cells",2
"10","Pre-B_cell_CD34-","B cells",0
"11","Pre-B_cell_CD34-","B cells",0
"12","Pre-B_cell_CD34-","B cells",0
"13","Pre-B_cell_CD34-","B cells",2
"0","Pro-B_cell_CD34+","B cells",0
"1","Pro-B_cell_CD34+","B cells",0
"2","Pro-B_cell_CD34+","B cells",0
"3","Pro-B_cell_CD34+","B cells",0
"4","Pro-B_cell_CD34+","B cells",0
"5","Pro-B_cell_CD34+","B cells",0
"6","Pro-B_cell_CD34+","B cells",0
"7","Pro-B_cell_CD34+","B cells",0
"8","Pro-B_cell_CD34+","B cells",0
"9","Pro-B_cell_CD34+","B cells",0
"10","Pro-B_cell_CD34+","B cells",0
"11","Pro-B_cell_CD34+","B cells",0
"12","Pro-B_cell_CD34+","B cells",0
"13","Pro-B_cell_CD34+","B cells",0
"0","T_cells","B cells",0
"1","T_cells","B cells",1
"2","T_cells","B cells",0
"3","T_cells","B cells",0
"4","T_cells","B cells",0
"5","T_cells","B cells",0
"6","T_cells","B cells",0
"7","T_cells","B cells",0
"8","T_cells","B cells",0
"9","T_cells","B cells",1
"10","T_cells","B cells",0
"11","T_cells","B cells",0
"12","T_cells","B cells",0
"13","T_cells","B cells",18
"0","B_cell","Basophils",0
"1","B_cell","Basophils",0
"2","B_cell","Basophils",0
"3","B_cell","Basophils",0
"4","B_cell","Basophils",0
