cluster,CellMarker2.0,genes,score,tissue
13,Central memory T cell,"SELL, CCR7, LEF1, TCF7, KLF2, GLTSCR2, SOCS3, NOSIP, EPSTI1, TMEM123",0.09,blood
13,Naive T(Th0) cell,"SELL, CCR7, LEF1, TCF7, KLF2, GLTSCR2, SOCS3, NOSIP, EPSTI1, TMEM123",0.14,intestine
14,Memory CD4+ T cell,"CD69, LTB, CD8A, DUSP2, NFKBIZ, IRF1, NFKBIA, VMP1, MYO1F, ADAR",0.09,blood
14,Tissue resident memory T (TRM) cell,"CD69, LTB, CD8A, DUSP2, NFKBIZ, IRF1, NFKBIA, VMP1, MYO1F, ADAR",0.09,blood
14,Tissue resident T cell,"CD69, LTB, CD8A, DUSP2, NFKBIZ, IRF1, NFKBIA, VMP1, MYO1F, ADAR",1,intestine
15,Naive cytotoxic T cell,"TRDC,TRGC1,TRGC2,KLRD1,KLRC1,KLRC2,CD160,ENTPD1,ITGA1,ZEB2,HOPX,GZMA,FASLG,PTPN22,CD63,CD3D,CD3E,CD247,NCR1",0.6,blood
15,CD8 T cell,"TRDC,TRGC1,TRGC2,KLRD1,KLRC1,KLRC2,CD160,ENTPD1,ITGA1,ZEB2,HOPX,GZMA,FASLG,PTPN22,CD63,CD3D,CD3E,CD247,NCR1",0.3,blood
15,Regulatory CD4+ T cell,"TRDC,TRGC1,TRGC2,KLRD1,KLRC1,KLRC2,CD160,ENTPD1,ITGA1,ZEB2,HOPX,GZMA,FASLG,PTPN22,CD63,CD3D,CD3E,CD247,NCR1",1,intestine
16,CD3/CD28-stimulated NK cell,"GNLY,NKG7,PRF1,GZMB,GZMH,FCGR3A,KLRD1,KLRG1,CCL3,CCL4,IFNG,CST7,ITGB1,HOPX,CD8A,CD8B,TYROBP,SPON2,GZMA,CX3CR1",1,blood
16,Finally highly effector (TEMRA) memory T cell,"GNLY,NKG7,PRF1,GZMB,GZMH,FCGR3A,KLRD1,KLRG1,CCL3,CCL4,IFNG,CST7,ITGB1,HOPX,CD8A,CD8B,TYROBP,SPON2,GZMA,CX3CR1",0.14,blood
16,Cytotoxic T cell 2,"GNLY,NKG7,PRF1,GZMB,GZMH,FCGR3A,KLRD1,KLRG1,CCL3,CCL4,IFNG,CST7,ITGB1,HOPX,CD8A,CD8B,TYROBP,SPON2,GZMA,CX3CR1",0.33,intestine
17,Naive cytotoxic T cell,"CD3D,CD3E,CD8A,TRAC,MKI67,TOP2A,PCNA,CDK1,BIRC5,STMN1",1,blood
17,proliferative cell,"CD3D,CD3E,CD8A,TRAC,MKI67,TOP2A,PCNA,CDK1,BIRC5,STMN1",1,blood
17,Proliferating progenitor cell,"CD3D,CD3E,CD8A,TRAC,MKI67,TOP2A,PCNA,CDK1,BIRC5,STMN1",1,intestine
18,CD3/CD28-stimulated NK cell,"GNLY, NKG7, PRF1, GZMB, GZMH, TRGC2, TYROBP, KLRD1, KLRC1, KLRC2",1,blood
18,Finally highly effector (TEMRA) memory T cell,"GNLY, NKG7, PRF1, GZMB, GZMH, TRGC2, TYROBP, KLRD1, KLRC1, KLRC2",0.14,blood
18,Cytotoxic T cell 2,"GNLY, NKG7, PRF1, GZMB, GZMH, TRGC2, TYROBP, KLRD1, KLRC1, KLRC2",0.33,intestine
19,Transitional CD8+ T cell,"CD3D,CD3E,CD8A,TRAC,HAVCR2,GZMK,EOMES,CD27,S1PR4,NFATC1,PDCD1,LAG3,TIGIT,TOX,CCR7",1,blood
19,Naive cytotoxic T cell,"CD3D,CD3E,CD8A,TRAC,HAVCR2,GZMK,EOMES,CD27,S1PR4,NFATC1,PDCD1,LAG3,TIGIT,TOX,CCR7",1,blood
19,Regulatory CD4+ T cell,"CD3D,CD3E,CD8A,TRAC,HAVCR2,GZMK,EOMES,CD27,S1PR4,NFATC1,PDCD1,LAG3,TIGIT,TOX,CCR7",1,intestine
20,Malignant cell,"KRT5, KRT14, KRT6A, KRT15, S100A2, S100A8, S100A9, S100A14, SFN, TFF3",1,blood
20,0,"KRT5, KRT14, KRT6A, KRT15, S100A2, S100A8, S100A9, S100A14, SFN, TFF3",0,blood
20,0,"KRT5, KRT14, KRT6A, KRT15, S100A2, S100A8, S100A9, S100A14, SFN, TFF3",0,intestine
,,,,
,,,,
,,,,
